Nummer,Titel,Mode,Genre,Publisher,Developer,Release,Version,Players
SWJ-BANC05,Terrors 2,beide,Adventure,Bandai,Megas ,21.12.2000,Color,1
SWJ-BANC06,Wonder Classic,beide,Sport,Bandai,Yoshidayama Workshop,15.01.2001,Color,
SWJ-BANC07,Kidou Senshi Gundam Vol.1 -Side 7,Farbe,Adventure,Bandai,iNPLAS ,01.02.2001,Color,
SWJ-BANC08,Dark Eyes: Battle Gate,beide,Strategy,Bandai,NexTech,15.03.2001,Color,
SWJ-BANC09,Uchuu Senkan Yamato,beide,Simulation,Bandai,Tom Create,08.02.2001,Color,
SWJ-BANC0A,SD Gundam Eiyuuden - Kishi Densetsu,beide,RPG,Bandai,Bandai,15.03.2001,Color,2
SWJ-BANC0B,SD Gundam Eiyuuden - Musha Densetsu,beide,RPG,Bandai,Bec ,15.03.2001,Color,1
SWJ-BANC0C,Wizardry - Scenario #1 - Proving Grounds of the Mad Overlord,beide,RPG,Bandai,Sting ,01.03.2001,Color,
SWJ-BANC0D,Pocket no Naka no Doraemon,beide,Simulation,Bandai,Bandai,24.05.2001,Color,
SWJ-BANC0E,Metantei Conan - Yuugure no Oujo,beide,Adventure,Bandai,Tomcat System,15.04.2000,Color,1
SWJ-BANC0F,Hunter x Hunter - Sorezore no Ketsui,Farbe,RPG,Bandai,Access ,26.02.2001,Color,
SWJ-BANC10,Raku Jongg,Farbe,Puzzle,Bandai,Enterbrain,31.05.2001,Color,
SWJ-BANC11,Ultraman - Hikari no Kuni no Shisha,Farbe,Fighting,Bandai,Tom Create,21.06.2001,Color,
SWJ-BANC12,SD Gundam G Generation - Gather Beat 2,Farbe,Strategy,Bandai,Vanguard Works,14.02.2001,Color,
SWJ-BANC13,Tonpuusou,beide,Mahjong,Bandai,Bandai,28.06.2001,Color,
SWJ-BANC14,Digimon Tamers: Digimon Medley,beide,RPG,Bandai,Shade ,12.07.2001,Color,
SWJ-BANC15,Last Alive,Farbe,Adventure,Bandai,Bandai,26.07.2001,Color,1
SWJ-BANC16,Star Hearts: Hoshi to Daichi no Shisha,Farbe,RPG,Bandai,Bandai,27.09.2001,Color,
SWJ-BANC17,Mobile Suit Gundam - Vol. 2 - Jaburo,Farbe,Simulation,Bandai,Bandai,16.08.2000,Color,
SWJ-BANC18,Hunter × Hunter - Michibikareshi Mono,Farbe,RPG,Bandai,Access ,23.08.2001,Color,
SWJ-BANC19,From TV Animation - One Piece - Niji No Shima Densetsu,Farbe,RPG,Bandai,Tomcat System,13.09.2001,Color,
"SWJ-BANC1A, SWJ-BANC24",Digimon Tamers - Battle Spirit[C1A with Link Cable],Farbe,Fighting,Bandai,Dimps ,06.10.2001,Color,
SWJ-BANC1B,Inu Yasha - Kagome no Sengoku Nikki,Farbe,Adventure,Sammy,Bandai,02.11.2001,Color,
SWJ-BANC1D,Digimon Tamers - Brave Tamer,Farbe,RPG,Bandai,Sims ,29.12.2001,Color,
SWJ-BANC1E,From TV Animation One Piece - Treasure Wars,Farbe,RPG,Bandai,Graphic Research,03.01.2002,Color,
SWJ-BANC1F,XI[sái] Little,Farbe,Puzzle,Bandai,MBI ,20.01.2001,Color,
SWJ-BANC20,Kinniku Man Second Generations Dream Tag Match,Farbe,Fighting,Bandai,TOSE,02.03.2002,Color,
SWJ-BANC21,SD Gundam - Operation U.C,Farbe,Action,Bandai,Bandai,16.02.2002,Color,
SWJ-BANC22,Digital Monsters Card Game Ver. WonderSwan Color,Farbe,Card,Bandai,Tom Create,16.03.2002,Color,
SWJ-BANC23,Final Lap Special,Farbe,Racing,Bandai,Soft Machine,15.11.2001,Color,
SWJ-BANC25,Kidou Senshi Gundam Vol. 3 A Baoa Qu,Farbe,Simulation,Bandai,Bandai,25.05.2002,Color,
